Zip,Household_Income,Population,Source
10001,40932,17310,http://zipatlas.com/us/ny/new-york/zip-code-comparison/median-household-income.htm
10002,24022,84870,
10003,60891,53673,
10004,101868,1225,
10005,79517,884,
10006,81334,1447,
10007,112947,3522,
10008,#N/A,#N/A,
10009,40176,58595,
10010,62467,26408,
10011,61986,46669,
10012,58313,26000,
10013,38304,25042,
10014,66601,32667,
10015,#N/A,#N/A,
10016,66342,51217,
10017,69273,16201,
10018,48705,4255,
10019,55869,36012,
10020,0,#N/A,
10021,75472,102078,
10022,80406,30642,
10023,72424,62206,
10024,78066,61414,
10025,49733,97086,
10026,22491,30377,
10027,23150,56168,
10028,77565,44987,
10029,22232,75390,
10030,17970,25847,
10031,24285,60221,
10032,26237,63842,
10033,31348,58259,
10034,29479,41756,
10035,14896,#N/A,
10036,41002,18751,
10037,26561,16984,
10038,31316,15574,
10039,17370,21737,
10040,27905,46599,
10041,0,0,
10043,#N/A,#N/A,
10044,49976,9520,
10045,#N/A,#N/A,
10046,#N/A,#N/A,
10047,#N/A,#N/A,
10048,0,#N/A,
10055,#N/A,#N/A,
10060,#N/A,#N/A,
10069,88091,1403,
10072,#N/A,#N/A,
10079,#N/A,#N/A,
10080,#N/A,#N/A,
10081,#N/A,#N/A,
10082,#N/A,#N/A,
10087,#N/A,#N/A,
10090,#N/A,#N/A,
10094,#N/A,#N/A,
10095,#N/A,#N/A,
10096,#N/A,#N/A,
10098,#N/A,#N/A,
10099,#N/A,#N/A,
10101,#N/A,#N/A,
10102,#N/A,#N/A,
10103,0,#N/A,
10104,#N/A,#N/A,
10105,#N/A,#N/A,
10106,#N/A,#N/A,
10107,#N/A,#N/A,
10108,#N/A,#N/A,
10109,#N/A,#N/A,
10110,#N/A,#N/A,
10111,0,#N/A,
10112,0,#N/A,
10113,#N/A,#N/A,
10114,#N/A,#N/A,
10115,0,#N/A,
10116,#N/A,#N/A,
10117,#N/A,#N/A,
10118,#N/A,#N/A,
10119,0,#N/A,
10120,#N/A,#N/A,
10121,#N/A,#N/A,
10122,#N/A,#N/A,
10123,#N/A,#N/A,
10124,#N/A,#N/A,
10125,#N/A,#N/A,
10126,#N/A,#N/A,
10128,70031,59856,
10129,#N/A,#N/A,
10130,#N/A,#N/A,
10131,#N/A,#N/A,
10132,#N/A,#N/A,
10133,#N/A,#N/A,
10138,#N/A,#N/A,
10149,#N/A,#N/A,
10150,#N/A,#N/A,
10151,#N/A,#N/A,
10152,0,#N/A,
10153,0,#N/A,
10154,0,#N/A,
10155,#N/A,#N/A,
10156,#N/A,#N/A,
10157,#N/A,#N/A,
10158,#N/A,#N/A,
10159,#N/A,#N/A,
10160,#N/A,#N/A,
10161,#N/A,#N/A,
10162,108416,1726,
10163,#N/A,#N/A,
10164,#N/A,#N/A,
10165,#N/A,#N/A,
10166,#N/A,#N/A,
10167,0,#N/A,
10168,#N/A,#N/A,
10169,0,#N/A,
10170,0,#N/A,
10171,0,#N/A,
10172,0,#N/A,
10173,0,#N/A,
10174,#N/A,#N/A,
10175,#N/A,#N/A,
10176,#N/A,#N/A,
10177,0,#N/A,
10178,#N/A,#N/A,
10179,#N/A,#N/A,
10184,#N/A,#N/A,
10185,#N/A,#N/A,
10196,#N/A,#N/A,
10197,#N/A,#N/A,
10199,#N/A,#N/A,
10203,#N/A,#N/A,
10211,#N/A,#N/A,
10212,#N/A,#N/A,
10213,#N/A,#N/A,
10242,#N/A,#N/A,
10249,#N/A,#N/A,
10256,#N/A,#N/A,
10257,#N/A,#N/A,
10258,#N/A,#N/A,
10259,#N/A,#N/A,
10260,#N/A,#N/A,
10261,#N/A,#N/A,
10265,#N/A,#N/A,
10268,#N/A,#N/A,
10269,#N/A,#N/A,
10270,#N/A,#N/A,
10271,0,#N/A,
10272,#N/A,#N/A,
10273,#N/A,#N/A,
10274,#N/A,#N/A,
10275,#N/A,#N/A,
10276,#N/A,#N/A,
10277,#N/A,#N/A,
10278,0,0,
10279,0,#N/A,
10280,108536,6614,
10281,#N/A,#N/A,
10282,86066,1574,
10285,#N/A,#N/A,
10286,#N/A,#N/A,
10292,#N/A,#N/A,
