Zip,Household_Income,Population,Source
11004,55156,14682,http://zipatlas.com/us/ny/new-york/zip-code-comparison/median-household-income.htm
11005,55351,2195,
11101,28872,25595,
11102,35078,36291,
11103,38482,44321,
11104,37962,29506,
11105,38674,42117,
11106,34651,43130,
11109,#N/A,#N/A,
11120,#N/A,#N/A,
11351,#N/A,#N/A,
11352,#N/A,#N/A,
11354,37155,54329,
11355,36973,83281,
11356,48738,20444,
11357,54910,39491,
11358,51242,38647,
11359,#N/A,#N/A,
11360,58803,19350,
11361,55250,29206,
11362,61053,17502,
11363,67550,6917,
11364,54031,34539,
11365,50744,41566,
11366,62325,13366,
11367,45285,38216,
11368,34746,98841,
11369,39936,36110,
11370,44429,43142,
11371,0,#N/A,
11372,39084,71308,
11373,38151,105723,
11374,40998,44189,
11375,51350,70204,
11377,37360,88339,
11378,43107,34053,
11379,49083,28984,
11380,#N/A,#N/A,
11381,#N/A,#N/A,
11385,36434,97524,
11386,#N/A,#N/A,
11390,#N/A,#N/A,
11405,#N/A,#N/A,
11411,62071,21282,
11412,48536,37452,
11413,56726,39827,
11414,51175,28121,
11415,45344,20956,
11416,39692,23668,
11417,42889,28607,
11418,40924,36571,
11419,43066,48867,
11420,47584,45498,
11421,44550,37664,
11422,58396,30449,
11423,46047,31240,
11424,#N/A,#N/A,
11425,#N/A,#N/A,
11426,58065,18727,
11427,51336,23014,
11428,55219,21023,
11429,54467,27647,
11430,85197,229,
11431,#N/A,#N/A,
11432,42414,57045,
11433,31869,28435,
11434,43133,59142,
11435,40157,53877,
11436,40194,18148,
11439,#N/A,#N/A,
11451,#N/A,#N/A,
11499,#N/A,#N/A,
11690,#N/A,#N/A,
11691,27820,56184,
11692,29059,15893,
11693,37248,11157,
11694,48604,19278,
11695,#N/A,#N/A,
11697,58491,4226,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
,#REF!,#REF!,
