,id,name,reviews,rating,zip,latitude,longitude,alias
0,7sCRkQQZKZszb2y8F1XqVw,Wagging Tails,128,4.5,11375,40.709673,-73.847404,petstore
1,DGHJ0IsYThNwgvWCjps1Bw,Wespaw Pets,119,4.5,11104,40.743721,-73.920177,petstore
2,YTGxwkLHaNCwbQAuHSh3Xg,Q Puppies,87,4.0,11354,40.7638691,-73.8331516,petstore
3,smhjgSrhgDf-lj2ZKtVFmA,Modern Pet,62,4.5,11360,40.7784708,-73.7771159,petstore
4,QSQrEyOsWr25DTGfc87HSQ,Pet Supplies Plus,45,4.0,11378,40.7307128994612,-73.887375,groomer
5,wOLk-Z89PUtp5diBkQWHpQ,Pet Island,44,4.5,11101,40.7425713,-73.9522592,petstore
6,K28y3sJoJTPsNfSbuiCYpA,NY Puppy Club,291,4.5,11358,40.758031,-73.7896,groomer
7,LPDf_yU7_if1XeibhdTigQ,Skillman Pets,114,4.0,11377,40.7460731,-73.914954,petstore
8,t9_yKbLU-aVCD7c8tDhclw,Nyc Pet Knickerbocker,22,3.5,11237,40.7013940581259,-73.9228962968823,petstore
9,wDPjpXOMi6r-ook5zCOtng,Muddy Paws,64,4.5,11211,40.718566,-73.94532,petstore
10,CqGQ3iNCqengbwuMhXjRuA,Petco,56,3.0,11370,40.758891,-73.892302,petstore
11,4BxJEdhnbU3T7_9J1DE_dg,Astoria Pets,112,2.0,11103,40.76007,-73.91842,petstore
12,R1hK3cLoDBDUKnsAAvO8aQ,PS9 Pet Supplies,115,4.0,11211,40.7187411189079,-73.9561300724745,petstore
13,mIeABi9uZ_xgYiRK9rgjGQ,Pet Club,5,4.0,11103,40.76326,-73.9158,petstore
14,i-tDDfhpVTQ_nDJ96QZFmg,Teacup Pup,69,2.0,11375,40.7209094,-73.8462392,petstore
15,mkcAr-P9REo-GhhLmZEOLw,Bushwick Bark,124,4.5,11237,40.704075,-73.927116,petstore
16,DDs_zWTd4-IQyuvWaFtimw,Whisker's Holistic Pet Care,60,4.0,11105,40.7808473466347,-73.9170436282244,petstore
